item_name,item_id
オークの原木,oak_log
オークの木,oak_wood
樹皮を剥いだオークの原木,stripped_oak_log
樹皮を剥いだオークの木,stripped_oak_wood
オークの板材,oak_planks
オークの階段,oak_stairs
オークのハーフブロック,oak_slab
オークのフェンス,oak_fence
オークのフェンスゲート,oak_fence_gate
オークのドア,oak_door
オークのトラップドア,oak_trapdoor
オークの感圧板,oak_pressure_plate
オークのボタン,oak_button
トウヒの原木,spruce_log
トウヒの木,spruce_wood
樹皮を剥いだトウヒの原木,stripped_spruce_log
樹皮を剥いだトウヒの木,stripped_spruce_wood
トウヒの板材,spruce_planks
トウヒの階段,spruce_stairs
トウヒのハーフブロック,spruce_slab
トウヒのフェンス,spruce_fence
トウヒのフェンスゲート,spruce_fence_gate
トウヒのドア,spruce_door
トウヒのトラップドア,spruce_trapdoor
トウヒの感圧板,spruce_pressure_plate
トウヒのボタン,spruce_button
シラカバの原木,birch_log
シラカバの木,birch_wood
樹皮を剥いだシラカバの原木,stripped_birch_log
樹皮を剥いだシラカバの木,stripped_birch_wood
シラカバの板材,birch_planks
シラカバの階段,birch_stairs
シラカバのハーフブロック,birch_slab
シラカバのフェンス,birch_fence
シラカバのフェンスゲート,birch_fence_gate
シラカバのドア,birch_door
シラカバのトラップドア,birch_trapdoor
シラカバの感圧板,birch_pressure_plate
シラカバのボタン,birch_button
ジャングルの原木,jungle_log
ジャングルの木,jungle_wood
樹皮を剥いだジャングルの原木,stripped_jungle_log
樹皮を剥いだジャングルの木,stripped_jungle_wood
ジャングルの板材,jungle_planks
ジャングルの階段,jungle_stairs
ジャングルのハーフブロック,jungle_slab
ジャングルのフェンス,jungle_fence
ジャングルのフェンスゲート,jungle_fence_gate
ジャングルのドア,jungle_door
ジャングルのトラップドア,jungle_trapdoor
ジャングルの感圧板,jungle_pressure_plate
ジャングルのボタン,jungle_button
アカシアの原木,acacia_log
アカシアの木,acacia_wood
樹皮を剥いだアカシアの原木,stripped_acacia_log
樹皮を剥いだアカシアの木,stripped_acacia_wood
アカシアの板材,acacia_planks
アカシアの階段,acacia_stairs
アカシアのハーフブロック,acacia_slab
アカシアのフェンス,acacia_fence
アカシアのフェンスゲート,acacia_fence_gate
アカシアのドア,acacia_door
アカシアのトラップドア,acacia_trapdoor
アカシアの感圧板,acacia_pressure_plate
アカシアのボタン,acacia_button
ダークオークの原木,dark_oak_log
ダークオークの木,dark_oak_wood
樹皮を剥いだダークオークの原木,stripped_dark_oak_log
樹皮を剥いだダークオークの木,stripped_dark_oak_wood
ダークオークの板材,dark_oak_planks
ダークオークの階段,dark_oak_stairs
ダークオークのハーフブロック,dark_oak_slab
ダークオークのフェンス,dark_oak_fence
ダークオークのフェンスゲート,dark_oak_fence_gate
ダークオークのドア,dark_oak_door
ダークオークのトラップドア,dark_oak_trapdoor
ダークオークの感圧板,dark_oak_pressure_plate
ダークオークのボタン,dark_oak_button
マングローブの原木,mangrove_log
マングローブの木,mangrove_wood
樹皮を剥いだマングローブの原木,stripped_mangrove_log
樹皮を剥いだマングローブの木,stripped_mangrove_wood
マングローブの板材,mangrove_planks
マングローブの階段,mangrove_stairs
マングローブのハーフブロック,mangrove_slab
マングローブのフェンス,mangrove_fence
マングローブのフェンスゲート,mangrove_fence_gate
マングローブのドア,mangrove_door
マングローブのトラップドア,mangrove_trapdoor
マングローブの感圧板,mangrove_pressure_plate
マングローブのボタン,mangrove_button
サクラの原木,cherry_log
サクラの木,cherry_wood
樹皮を剥いだサクラの原木,stripped_cherry_log
樹皮を剥いだサクラの木,stripped_cherry_wood
サクラの板材,cherry_planks
サクラの階段,cherry_stairs
サクラのハーフブロック,cherry_slab
サクラのフェンス,cherry_fence
サクラのフェンスゲート,cherry_fence_gate
サクラのドア,cherry_door
サクラのトラップドア,cherry_trapdoor
サクラの感圧板,cherry_pressure_plate
サクラのボタン,cherry_button
竹ブロック,bamboo_block
表皮を剥いだ竹ブロック,stripped_bamboo_block
竹の板材,bamboo_planks
竹細工,bamboo_mosaic
竹の階段,bamboo_stairs
竹細工の階段,bamboo_mosaic_stairs
竹のハーフブロック,bamboo_slab
竹細工のハーフブロック,bamboo_mosaic_slab
竹のフェンス,bamboo_fence
竹のフェンスゲート,bamboo_fence_gate
竹のドア,bamboo_door
竹のトラップドア,bamboo_trapdoor
竹の感圧板,bamboo_pressure_plate
竹のボタン,bamboo_button
真紅の幹,crimson_stem
真紅の菌糸,warped_hyphae
表皮を剥いだ真紅の幹,stripped_crimson_stem
表皮を剥いだ真紅の菌糸,stripped_warped_hyphae
真紅の板材,crimson_planks
真紅の階段,crimson_stairs
真紅のハーフブロック,crimson_slab
真紅のフェンス,crimson_fence
真紅のフェンスゲート,crimson_fence_gate
真紅のドア,crimson_door
真紅のトラップドア,crimson_trapdoor
真紅の感圧板,crimson_pressure_plate
真紅のボタン,crimson_button
歪んだ幹,warped_stem
歪んだ菌糸,crimson_hyphae
表皮を剥いだ歪んだ幹,stripped_warped_stem
表皮を剥いだ歪んだ菌糸,stripped_crimson_hyphae
歪んだ板材,warped_planks
歪んだ階段,warped_stairs
歪んだハーフブロック,warped_slab
歪んだフェンス,warped_fence
歪んだフェンスゲート,warped_fence_gate
歪んだドア,warped_door
歪んだトラップドア,warped_trapdoor
歪んだ感圧板,warped_pressure_plate
歪んだボタン,warped_button
石,stone
石の階段,stone_stairs
石のハーフブロック,stone_slab
石の感圧板,stone_pressure_plate
石のボタン,stone_button
丸石,cobblestone
丸石の階段,cobblestone_stairs
丸石のハーフブロック,cobblestone_slab
丸石の塀,cobblestone_wall
苔むした丸石,mossy_cobblestone
苔むした丸石の階段,mossy_cobblestone_stairs
苔むした丸石のハーフブロック,mossy_cobblestone_slab
苔むした丸石の塀,mossy_cobblestone_wall
滑らかな石,smooth_stone
滑らかな石のハーフブロック,smooth_stone_slab
石レンガ,stone_bricks
ひび割れた石レンガ,cracked_stone_bricks
石レンガの階段,stone_brick_stairs
石レンガのハーフブロック,stone_brick_slab
石レンガの塀,stone_brick_wall
模様入りの石レンガ,chiseled_stone_bricks
苔むした石レンガ,mossy_stone_bricks
苔むした石レンガの階段,mossy_stone_brick_stairs
苔むした石レンガのハーフブロック,mossy_stone_brick_slab
苔むした石レンガの塀,mossy_stone_brick_wall
花崗岩,granite
花崗岩の階段,granite_stairs
花崗岩のハーフブロック,granite_slab
花崗岩の塀,granite_wall
磨かれた花崗岩,polished_granite
磨かれた花崗岩の階段,polished_granite_stairs
磨かれた花崗岩のハーフブロック,polished_granite_slab
閃緑岩,diorite
閃緑岩の階段,diorite_stairs
閃緑岩のハーフブロック,diorite_slab
閃緑岩の塀,diorite_wall
磨かれた閃緑岩,polished_diorite
磨かれた閃緑岩の階段,polished_diorite_stairs
磨かれた閃緑岩のハーフブロック,polished_diorite_slab
安山岩,andesite
安山岩の階段,andesite_stairs
安山岩のハーフブロック,andesite_slab
安山岩の塀,andesite_wall
磨かれた安山岩,polished_andesite
磨かれた安山岩の階段,polished_andesite_stairs
磨かれた安山岩のハーフブロック,polished_andesite_slab
深層岩,deepslate
深層岩の丸石,cobbled_deepslate
深層岩の丸石の階段,cobbled_deepslate_stairs
深層岩の丸石のハーフブロック,cobbled_deepslate_slab
深層岩の丸石の塀,cobbled_deepslate_wall
模様入りの深層岩,chiseled_deepslate
磨かれた深層岩,polished_deepslate
磨かれた深層岩の階段,polished_deepslate_stairs
磨かれた深層岩のハーフブロック,polished_deepslate_slab
磨かれた深層岩の塀,polished_deepslate_wall
深層岩レンガ,deepslate_bricks
ひび割れた深層岩レンガ,cracked_deepslate_bricks
深層岩レンガの階段,deepslate_brick_stairs
深層岩レンガのハーフブロック,deepslate_brick_slab
深層岩レンガの塀,deepslate_brick_wall
深層岩タイル,deepslate_tiles
